measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Africa,Both,All Ages,"Communicable, maternal, neonatal, and nutritional diseases",Percent,2000,0.6515668670560426,0.6643347021886952,0.6385357169869047
Deaths,Africa,Both,All Ages,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2000,768.5125463575076,790.3402035846069,745.6469951170444
Deaths,America,Both,All Ages,"Communicable, maternal, neonatal, and nutritional diseases",Number,2000,659763.4368198249,671828.1122515736,649034.2946949833
Deaths,America,Both,All Ages,"Communicable, maternal, neonatal, and nutritional diseases",Percent,2000,0.12054711791385997,0.1226733754922153,0.11877137335289165
Deaths,America,Both,All Ages,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2000,79.88600178627729,81.34682642326725,78.58688725655782
Deaths,Europe,Both,All Ages,"Communicable, maternal, neonatal, and nutritional diseases",Number,2000,408420.2604956526,414979.7006979836,402313.6894319438
Deaths,Europe,Both,All Ages,"Communicable, maternal, neonatal, and nutritional diseases",Percent,2000,0.04645712817955864,0.04716200159053583,0.045806279937751965
Deaths,Europe,Both,All Ages,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2000,50.01464093361702,50.81790188361736,49.26683777929663
Deaths,Global,Both,All Ages,"Communicable, maternal, neonatal, and nutritional diseases",Number,2001,14700243.944915695,15180485.256072918,14360525.861205038
Deaths,Global,Both,All Ages,"Communicable, maternal, neonatal, and nutritional diseases",Percent,2001,0.29015933109501096,0.2995494856308472,0.28391815019971317
Deaths,Global,Both,All Ages,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2001,234.49861547460046,242.15943545704923,229.07942511419967
Deaths,Europe,Both,All Ages,Non-communicable diseases,Number,2000,7690903.568554684,7703040.142435902,7678414.718523431
Deaths,Europe,Both,All Ages,Non-communicable diseases,Percent,2000,0.8748295386139382,0.8755483810988344,0.8740627568287551
Deaths,Europe,Both,All Ages,Non-communicable diseases,Rate,2000,941.8185571144801,943.3047869702115,940.28918795628
Deaths,Europe,Both,All Ages,Injuries,Number,2000,691993.9373318355,695362.7935768212,689008.6362924306
Deaths,Europe,Both,All Ages,Injuries,Percent,2000,0.07871333320650326,0.07909201903656714,0.07841555943007768
Deaths,Europe,Both,All Ages,Injuries,Rate,2000,84.74072334680369,85.15326932394376,84.37514706666678
Deaths,Global,Both,All Ages,Non-communicable diseases,Number,2001,31489616.086067148,31807255.40915693,31082252.33492665
Deaths,Global,Both,All Ages,Non-communicable diseases,Percent,2001,0.6215605885624658,0.6272929132935262,0.614088407325871
Deaths,Global,Both,All Ages,Non-communicable diseases,Rate,2001,502.32304999016105,507.39003947441535,495.82477445167865
Deaths,Global,Both,All Ages,Injuries,Number,2001,4472468.291258389,4561554.04776514,4325462.507688009
Deaths,Global,Both,All Ages,Injuries,Percent,2001,0.08828008034252308,0.08998680768060976,0.08538036029293855
Deaths,Global,Both,All Ages,Injuries,Rate,2001,71.34491277723906,72.76601072892068,68.99987327699753
Deaths,Global,Both,All Ages,Non-communicable diseases,Number,2000,31138227.81166206,31459628.380939208,30753639.35146462
Deaths,Global,Both,All Ages,Non-communicable diseases,Percent,2000,0.6160879420783045,0.6217220830233604,0.6085963341349742
Deaths,Global,Both,All Ages,Non-communicable diseases,Rate,2000,503.1137973988161,508.3068052306416,496.89983551838856
Deaths,Global,Both,All Ages,Injuries,Number,2000,4568246.437249146,4665621.203238904,4416960.983032855
Deaths,Global,Both,All Ages,Injuries,Percent,2000,0.09038524880242746,0.09222246903026211,0.08741163924550317
Deaths,Global,Both,All Ages,Injuries,Rate,2000,73.81113101231907,75.38445716897266,71.36674657842211
Deaths,Global,Both,All Ages,"Communicable, maternal, neonatal, and nutritional diseases",Number,2000,14835530.528040135,15316420.259737886,14486877.955983115
Deaths,Global,Both,All Ages,"Communicable, maternal, neonatal, and nutritional diseases",Percent,2000,0.2935268091192689,0.3024558415139196,0.28751527279577044
Deaths,Global,Both,All Ages,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2000,239.704075181596,247.4740183044975,234.07074496892528
Deaths,Africa,Both,All Ages,"Communicable, maternal, neonatal, and nutritional diseases",Number,2001,6328424.765785425,6512641.470979883,6146112.324298603
Deaths,Africa,Both,All Ages,"Communicable, maternal, neonatal, and nutritional diseases",Percent,2001,0.6556582585254996,0.6684034914733756,0.6425082675815393
Deaths,Africa,Both,All Ages,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2001,756.4154105577292,778.4342161607628,734.6242152159408
Deaths,Asia,Both,All Ages,"Communicable, maternal, neonatal, and nutritional diseases",Number,2002,7110057.71032838,7491773.558650924,6867966.015192396
Deaths,Asia,Both,All Ages,"Communicable, maternal, neonatal, and nutritional diseases",Percent,2002,0.2679335058531102,0.28194380727764007,0.25883972979807873
Deaths,Asia,Both,All Ages,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2002,187.37895827571202,197.43872444499456,180.99885680679066
Deaths,Africa,Both,All Ages,"Communicable, maternal, neonatal, and nutritional diseases",Number,2002,6380661.428512522,6570162.030531381,6186766.598445037
Deaths,Africa,Both,All Ages,"Communicable, maternal, neonatal, and nutritional diseases",Percent,2002,0.6540407908201792,0.6671915428193097,0.6407345311467687
Deaths,Africa,Both,All Ages,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2002,743.3340075927913,765.410440188082,720.745656416292
Deaths,America,Both,All Ages,"Communicable, maternal, neonatal, and nutritional diseases",Number,2001,646076.3925142318,657743.702365214,635568.3791015956
Deaths,America,Both,All Ages,"Communicable, maternal, neonatal, and nutritional diseases",Percent,2001,0.11694153770814049,0.11897295317262122,0.11516483368915197
Deaths,America,Both,All Ages,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2001,77.23308032453097,78.62781055973657,75.97693437437317
Deaths,Europe,Both,All Ages,"Communicable, maternal, neonatal, and nutritional diseases",Number,2002,398018.5380931308,404399.22937911586,392400.54431368486
Deaths,Europe,Both,All Ages,"Communicable, maternal, neonatal, and nutritional diseases",Percent,2002,0.044700382597064124,0.04537360827432712,0.044089404211564515
Deaths,Europe,Both,All Ages,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2002,48.602556041752976,49.38171046832312,47.91653558950001
Deaths,America,Both,All Ages,"Communicable, maternal, neonatal, and nutritional diseases",Number,2002,637982.866185863,648760.5350501379,627914.2592007929
Deaths,America,Both,All Ages,"Communicable, maternal, neonatal, and nutritional diseases",Percent,2002,0.11382311406897735,0.11568838715366173,0.11218760836414553
Deaths,America,Both,All Ages,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2002,75.31324608134479,76.5855392264742,74.12465698945196
Deaths,Africa,Both,All Ages,Non-communicable diseases,Number,2002,2743818.439442661,2880226.3171964358,2614229.7946143895
Deaths,Africa,Both,All Ages,Non-communicable diseases,Percent,2002,0.28123906791290426,0.29166937769519313,0.27012832967920786
Deaths,Africa,Both,All Ages,Non-communicable diseases,Rate,2002,319.64923692454596,335.54047572070647,304.5524248184737
Deaths,Africa,Both,All Ages,Injuries,Number,2002,631391.1774549659,669130.5475599245,587960.65712681
Deaths,Africa,Both,All Ages,Injuries,Percent,2002,0.06472014126691576,0.06831223085603386,0.06080505025497442
Deaths,Africa,Both,All Ages,Injuries,Rate,2002,73.5557809413097,77.95234037929986,68.4962141410549
Deaths,America,Both,All Ages,Non-communicable diseases,Number,2002,4386347.89271864,4398611.687015735,4373951.4195521455
Deaths,America,Both,All Ages,Non-communicable diseases,Percent,2002,0.7825751023387624,0.7843775700373503,0.7807838543441242
Deaths,America,Both,All Ages,Non-communicable diseases,Rate,2002,517.8040285277278,519.2517573097094,516.3406371364979
Deaths,America,Both,All Ages,Injuries,Number,2002,580690.4055082501,585024.251748857,577240.7291053858
Deaths,America,Both,All Ages,Injuries,Percent,2002,0.1036017835922615,0.10431767277830613,0.10305141376802515
Deaths,America,Both,All Ages,Injuries,Rate,2002,68.549927788151,69.06153404859654,68.14269690218221
Deaths,Europe,Both,All Ages,Non-communicable diseases,Number,2002,7820716.562498607,7833968.017516994,7807572.013150504
Deaths,Europe,Both,All Ages,Non-communicable diseases,Percent,2002,0.8783251893085222,0.8790545771226215,0.8775364306577946
Deaths,Europe,Both,All Ages,Non-communicable diseases,Rate,2002,954.9977667788045,956.6159190092304,953.3926689373943
Deaths,Europe,Both,All Ages,Injuries,Number,2002,685389.7995001195,688933.3057977295,682043.3833248819
Deaths,Europe,Both,All Ages,Injuries,Percent,2002,0.07697442809441364,0.07735931817905715,0.07662479548386414
Deaths,Europe,Both,All Ages,Injuries,Rate,2002,83.69383069503154,84.12653281046312,83.28519550814994
Deaths,Asia,Both,All Ages,Injuries,Number,2002,2525139.1010568077,2595799.3557488746,2398161.3353292993
Deaths,Asia,Both,All Ages,Injuries,Percent,2002,0.09515702068413474,0.09777674226248695,0.09036378596903895
Deaths,Asia,Both,All Ages,Injuries,Rate,2002,66.54769251309503,68.40987780822445,63.201311592496296
Deaths,Asia,Both,All Ages,Non-communicable diseases,Number,2003,17216986.343232792,17479815.72187682,16890805.636870656
Deaths,Asia,Both,All Ages,Non-communicable diseases,Percent,2003,0.6476276735007254,0.6563506339356544,0.6354879106469263
Deaths,Asia,Both,All Ages,Non-communicable diseases,Rate,2003,448.11560920696087,454.9564084490918,439.62593145331215
Deaths,America,Both,All Ages,Non-communicable diseases,Number,2003,4453560.767626618,4466259.167123613,4441041.235213265
Deaths,America,Both,All Ages,Non-communicable diseases,Percent,2003,0.7867764829561599,0.788526877696156,0.7850986800697732
Deaths,America,Both,All Ages,Non-communicable diseases,Rate,2003,519.2504762087888,520.7310106238192,517.7907963016899
Deaths,Africa,Both,All Ages,Non-communicable diseases,Number,2003,2783519.6574922036,2921611.9904860966,2653806.4599984004
Deaths,Africa,Both,All Ages,Non-communicable diseases,Percent,2003,0.2830277074958148,0.2937478289429406,0.2722239751806168
Deaths,Africa,Both,All Ages,Non-communicable diseases,Rate,2003,316.1092959273053,331.79169645864795,301.3784685656664
Deaths,Global,Both,All Ages,"Communicable, maternal, neonatal, and nutritional diseases",Number,2004,14091475.63875379,14594884.755610785,13734403.666463908
Deaths,Global,Both,All Ages,"Communicable, maternal, neonatal, and nutritional diseases",Percent,2004,0.274541349093005,0.28418000368368285,0.2683969352168369
Deaths,Global,Both,All Ages,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2004,216.32349378335292,224.05151473393505,210.84194887222804
Deaths,Africa,Both,All Ages,Injuries,Number,2001,616559.6816924184,653518.4161785254,571293.445603485
Deaths,Africa,Both,All Ages,Injuries,Percent,2001,0.06387863762232708,0.06756711678983852,0.05971103100118517
Deaths,Africa,Both,All Ages,Injuries,Rate,2001,73.69531313418881,78.11286684694653,68.28479158691029
Deaths,Europe,Both,All Ages,Injuries,Number,2003,685846.527116567,689677.5652383517,681702.5654599078
Deaths,Europe,Both,All Ages,Injuries,Percent,2003,0.07647675024196234,0.0769014200986166,0.07600195169663797
Deaths,Europe,Both,All Ages,Injuries,Rate,2003,83.60336637822411,84.07036252246525,83.09822545975152
Deaths,Europe,Both,All Ages,"Communicable, maternal, neonatal, and nutritional diseases",Number,2003,395551.6259200554,402145.7498487468,389662.3747764268
Deaths,Europe,Both,All Ages,"Communicable, maternal, neonatal, and nutritional diseases",Percent,2003,0.044106735167909965,0.04482131507962585,0.04347560557981241
Deaths,Europe,Both,All Ages,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2003,48.21697886599664,49.02078983092422,47.499090531526036
Deaths,Europe,Both,All Ages,Non-communicable diseases,Number,2003,7886642.64765902,7900108.1646415135,7872666.734127969
Deaths,Europe,Both,All Ages,Non-communicable diseases,Percent,2003,0.8794165145901277,0.8802809306840886,0.8786427964554845
Deaths,Europe,Both,All Ages,Non-communicable diseases,Rate,2003,961.3664992055919,963.0079197060226,959.6628623521392
Deaths,Africa,Both,All Ages,Non-communicable diseases,Number,2001,2707157.29592507,2841559.4653308582,2582403.2333716233
Deaths,Africa,Both,All Ages,Non-communicable diseases,Percent,2001,0.2804631038521738,0.29095907509103164,0.2696785334541293
Deaths,Africa,Both,All Ages,Non-communicable diseases,Rate,2001,323.577441974593,339.6420830051025,308.6660068327394
Deaths,Africa,Both,All Ages,Injuries,Number,2003,630866.3500017669,668525.4032258634,588801.7150646093
Deaths,Africa,Both,All Ages,Injuries,Percent,2003,0.06414959786980032,0.06775490530436877,0.060310863786772466
Deaths,Africa,Both,All Ages,Injuries,Rate,2003,71.64408456269221,75.92081987078168,66.86703113049052
Deaths,America,Both,All Ages,Injuries,Number,2003,574209.5953732842,578400.546766515,570619.2986430555
Deaths,America,Both,All Ages,Injuries,Percent,2003,0.10144112766255538,0.10213022106982272,0.10088897428589576
Deaths,America,Both,All Ages,Injuries,Rate,2003,66.94836365736339,67.43699592719155,66.5297630399757
Deaths,Asia,Both,All Ages,Non-communicable diseases,Number,2002,16901335.671607785,17157703.188672036,16588244.777945746
Deaths,Asia,Both,All Ages,Non-communicable diseases,Percent,2002,0.6369094734627554,0.6451561678598196,0.6247939422491559
Deaths,Asia,Both,All Ages,Non-communicable diseases,Rate,2002,445.41898260734735,452.1753100860195,437.16776329378587
Deaths,Asia,Both,All Ages,"Communicable, maternal, neonatal, and nutritional diseases",Number,2003,6840189.545198723,7231362.447315254,6596464.577394879
Deaths,Asia,Both,All Ages,"Communicable, maternal, neonatal, and nutritional diseases",Percent,2003,0.25729611503239724,0.2717220269977928,0.24831763439362553
Deaths,Asia,Both,All Ages,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2003,178.0332309052799,188.21449491064416,171.68967226795223
Deaths,Global,Both,All Ages,Non-communicable diseases,Number,2004,32595351.130655695,32911304.28910611,32192679.523693617
Deaths,Global,Both,All Ages,Non-communicable diseases,Percent,2004,0.6350557446477891,0.6410004336461915,0.6271823291751477
Deaths,Global,Both,All Ages,Non-communicable diseases,Rate,2004,500.38338201336927,505.23369669013107,494.20182011747835
Deaths,Africa,Both,All Ages,"Communicable, maternal, neonatal, and nutritional diseases",Number,2003,6420108.001162976,6607191.4133241065,6223836.211347344
Deaths,Africa,Both,All Ages,"Communicable, maternal, neonatal, and nutritional diseases",Percent,2003,0.652822694634386,0.6659546148696864,0.6395069263826452
Deaths,Africa,Both,All Ages,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2003,729.0969957989496,750.3430486294923,706.8074685372997
Deaths,America,Both,All Ages,"Communicable, maternal, neonatal, and nutritional diseases",Number,2003,632747.9554211302,643040.7026641318,622727.9542017723
Deaths,America,Both,All Ages,"Communicable, maternal, neonatal, and nutritional diseases",Percent,2003,0.11178238938128515,0.11356285590983149,0.1101115340405968
Deaths,America,Both,All Ages,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2003,73.77348021404708,74.97353432496777,72.60522616380837
Deaths,Global,Both,All Ages,Injuries,Number,2003,4437038.6739866845,4527501.393154855,4282436.862927816
Deaths,Global,Both,All Ages,Injuries,Percent,2003,0.08656944491892257,0.08819914939318181,0.08359756487051531
Deaths,Global,Both,All Ages,Injuries,Rate,2003,68.9880734491391,70.39460811627447,66.58428978161564
Deaths,Global,Both,All Ages,Non-communicable diseases,Number,2003,32507899.03851135,32836701.10883026,32089570.988093484
Deaths,Global,Both,All Ages,Non-communicable diseases,Percent,2003,0.6342510129656393,0.6399771881468835,0.6262346797738443
Deaths,Global,Both,All Ages,Non-communicable diseases,Rate,2003,505.4401124998515,510.5524009075175,498.9358540544018
Deaths,Global,Both,All Ages,"Communicable, maternal, neonatal, and nutritional diseases",Number,2003,14309220.020291425,14803723.56773549,13946114.407069933
Deaths,Global,Both,All Ages,"Communicable, maternal, neonatal, and nutritional diseases",Percent,2003,0.2791795421154377,0.2884083631060005,0.2728235999663727
Deaths,Global,Both,All Ages,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2003,222.48296539475209,230.17161756989285,216.83731780065273
Deaths,Asia,Both,All Ages,Injuries,Number,2003,2527579.9247947372,2600992.4566950127,2389172.873496967
Deaths,Asia,Both,All Ages,Injuries,Percent,2003,0.09507621146687657,0.09762511935712277,0.08997288460713435
Deaths,Asia,Both,All Ages,Injuries,Rate,2003,65.78665947910626,67.69740627300429,62.18426595480537
Deaths,Global,Both,All Ages,Injuries,Number,2004,4640095.793544799,4729083.214449234,4479352.1765555
Deaths,Global,Both,All Ages,Injuries,Percent,2004,0.09040290625920563,0.09203391731865677,0.08728909800566745
Deaths,Global,Both,All Ages,Injuries,Rate,2004,71.23183967962505,72.59791873949852,68.7642045133784
Deaths,Asia,Both,All Ages,"Communicable, maternal, neonatal, and nutritional diseases",Number,2004,6663050.764871282,7046968.363111389,6420374.898026272
Deaths,Asia,Both,All Ages,"Communicable, maternal, neonatal, and nutritional diseases",Percent,2004,0.2485963536870156,0.26282750411091316,0.24000163679041045
Deaths,Asia,Both,All Ages,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2004,171.31290938101716,181.18376929759393,165.07349889881547
Deaths,Europe,Both,All Ages,Non-communicable diseases,Number,2004,7768371.050592293,7781283.715909664,7754717.603006879
Deaths,Europe,Both,All Ages,Non-communicable diseases,Percent,2004,0.8810846741899535,0.881852663393521,0.8803085998559919
Deaths,Europe,Both,All Ages,Non-communicable diseases,Rate,2004,945.0875416954153,946.6584758130151,943.4264851971985
Deaths,Europe,Both,All Ages,Injuries,Number,2004,665121.1444235026,669011.4602118623,661030.4485310846
Deaths,Europe,Both,All Ages,Injuries,Percent,2004,0.07543770539202464,0.07585438756230561,0.07498544232749198
Deaths,Europe,Both,All Ages,Injuries,Rate,2004,80.91756987649632,81.39085944529951,80.4199023861547
Deaths,Europe,Both,All Ages,"Communicable, maternal, neonatal, and nutritional diseases",Number,2004,383335.30345271307,389132.06661954627,378380.8212974404
Deaths,Europe,Both,All Ages,"Communicable, maternal, neonatal, and nutritional diseases",Percent,2004,0.04347762041802264,0.044122604388007414,0.042907262362875224
Deaths,Europe,Both,All Ages,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2004,46.635957168597066,47.34118206265196,46.03320282923742
Deaths,Asia,Both,All Ages,"Communicable, maternal, neonatal, and nutritional diseases",Number,2006,6367876.008169297,6764049.579741464,6133984.04680056
Deaths,Asia,Both,All Ages,"Communicable, maternal, neonatal, and nutritional diseases",Percent,2006,0.23872485316971284,0.25274096602816526,0.23029924826991574
Deaths,Asia,Both,All Ages,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2006,159.81984402699268,169.76293939113808,153.949664278335
Deaths,Europe,Both,All Ages,"Communicable, maternal, neonatal, and nutritional diseases",Number,2006,371589.5501247669,376557.3816734611,367158.5800237709
Deaths,Europe,Both,All Ages,"Communicable, maternal, neonatal, and nutritional diseases",Percent,2006,0.042642867178313046,0.04320252969177138,0.042146729965073154
Deaths,Europe,Both,All Ages,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2006,45.030253139546765,45.632268756286294,44.493295883255186
Deaths,Africa,Both,All Ages,Non-communicable diseases,Number,2004,2815416.4862674517,2953195.4960436267,2681445.0118362494
Deaths,Africa,Both,All Ages,Non-communicable diseases,Percent,2004,0.28575959042189353,0.2962939058444518,0.2750511889692795
Deaths,Africa,Both,All Ages,Non-communicable diseases,Rate,2004,311.71787074800125,326.9725159383953,296.88478905143455
Deaths,Africa,Both,All Ages,Injuries,Number,2004,629830.8525452298,666814.0904759107,587905.5880206977
Deaths,Africa,Both,All Ages,Injuries,Percent,2004,0.06392989864042009,0.06743943873557362,0.06014169188086885
Deaths,Africa,Both,All Ages,Injuries,Rate,2004,69.73374392187417,73.82846178594484,65.09185372485395
Deaths,America,Both,All Ages,Non-communicable diseases,Number,2004,4454045.888802721,4466715.515084234,4440867.407101488
Deaths,America,Both,All Ages,Non-communicable diseases,Percent,2004,0.7889314378791646,0.7905779797870206,0.7871992352882544
Deaths,America,Both,All Ages,Non-communicable diseases,Rate,2004,512.916049963693,514.3750503487511,511.3984511451202
Deaths,America,Both,All Ages,Injuries,Number,2004,573424.7044120447,577784.9571421542,569832.7036715755
Deaths,America,Both,All Ages,Injuries,Percent,2004,0.10156885610635209,0.1022842059419576,0.1010496907508642
Deaths,America,Both,All Ages,Injuries,Rate,2004,66.03406019637693,66.53617527624029,65.62041496746275
Deaths,Asia,Both,All Ages,Non-communicable diseases,Number,2004,17387143.19400529,17656460.684600323,17066592.110005673
Deaths,Asia,Both,All Ages,Non-communicable diseases,Percent,2004,0.6487148407312313,0.6576626109183537,0.6366433143856849
Deaths,Asia,Both,All Ages,Non-communicable diseases,Rate,2004,447.0387802076028,453.96317032395575,438.79712923673975
Deaths,Africa,Both,All Ages,"Communicable, maternal, neonatal, and nutritional diseases",Number,2005,6355014.310127369,6541883.306227637,6168195.583307345
Deaths,Africa,Both,All Ages,"Communicable, maternal, neonatal, and nutritional diseases",Percent,2005,0.6477529580834838,0.6609183262951245,0.6348502142598327
Deaths,Africa,Both,All Ages,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2005,685.8588306168313,706.0264879798713,665.6965985176963
Deaths,Africa,Both,All Ages,"Communicable, maternal, neonatal, and nutritional diseases",Number,2004,6406834.214287734,6594387.2333834395,6208933.461177295
